baseMean,log2FoldChange,lfcSE,pvalue,padj,Symbol
10.03882757,0.146974046,0.36200167,0.270954873,0.478536247,FAM85A
8.167014839,0.099444967,0.358953138,0.271004627,0.478538188,KCNK10
167.6360559,0.163037184,0.168536429,0.271010115,0.478538188,GNPDA1
137.0701865,-0.173416847,0.185324163,0.271081278,0.478616035,ANAPC4
8.415698568,0.123393438,0.361114471,0.271189583,0.478759439,LOC105373438
125.2487806,0.169747541,0.17964358,0.27138654,0.479024775,PRICKLE3
423.9817617,-0.115631172,0.112958854,0.271394078,0.479024775,ZNF337-AS1
37.95071451,0.174833994,0.354437816,0.271425519,0.479032438,LINC02463
577.9573871,-0.098554449,0.092217186,0.271598672,0.479227812,URB1
27.70913243,-0.208562255,0.303592086,0.271725992,0.479227812,PET100
199.6271045,-0.153674038,0.156639151,0.27168752,0.479227812,ZKSCAN2-DT
120.9239569,-0.17287711,0.184515103,0.271566843,0.479227812,MYEF2
660.8854606,0.089653936,0.084570304,0.271720148,0.479227812,FBXW4
114.6672736,0.173699604,0.185210338,0.27164771,0.479227812,ATP6V1B2
682.574052,-0.208241316,0.299706545,0.271688987,0.479227812,PCBD2
337.6306195,0.117105647,0.111204184,0.271788427,0.479274212,TK2
6.149279355,0.135631467,0.362262539,0.271806527,0.479274212,LOC105370429
14.64499016,0.158827305,0.358870508,0.271979684,0.479531705,LOC105371808
171.2375266,0.1681094,0.17685039,0.27214629,0.479749702,OPTN
397.3108651,0.135791533,0.133892412,0.272157607,0.479749702,FEZ2
7.710327168,0.117806651,0.360061857,0.272188926,0.47975707,LOC105379346
75.22381695,-0.198533118,0.238733764,0.272408386,0.480000303,GET1
169.9604289,-0.167373662,0.182515811,0.272407747,0.480000303,LCMT1-AS1
6.308439789,-0.132094048,0.360263975,0.272384586,0.480000303,HP09053
6.438047939,0.117006709,0.361403269,0.272535932,0.480129327,LERFS
62.09393864,-0.207799648,0.266987157,0.272512152,0.480129327,ATG3
26.70126271,0.203190092,0.331211042,0.27259997,0.480194286,CAGE1
6.860908203,0.128398431,0.361507219,0.272793136,0.480343089,LOC101929566
