"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
871.076101952791,-1.63703047398473,0.0771475184849614,5.5913143349211e-101,9.25809827576236e-97,"LOXL2"
1995.2625255817,-1.76591935976444,0.0905903489864926,9.20377646971347e-86,7.61980653927578e-82,"IGFL2-AS1"
1360.19352613528,2.0425726812085,0.109526455027446,7.54075340785527e-79,4.16199316424225e-75,"MTUS1-DT"
1714.95587230365,-1.5271049152484,0.0846168868933568,3.14335517363454e-74,1.30119187412602e-70,"TGFBI"
829.085959452706,-1.72377791896289,0.0985772592756903,1.43503691175252e-69,4.75226823695963e-66,"WDR62"
750.837262636804,-1.55622520997305,0.0943554863901868,1.28253099764702e-62,3.53935804317324e-59,"CIT"
487.985119866123,-1.85162098038789,0.113978307150505,2.25749787821492e-60,5.33994998106894e-57,"DIAPH3"
212.394223968044,3.47130682258641,0.216338309322684,7.08371627970807e-59,1.46615217699258e-55,"MUC5B"
490.761329420426,-1.76002256523115,0.110611862224806,5.62291761883214e-58,1.03449188814025e-54,"KIF18B"
249.779433141486,2.35482295479989,0.149732484955773,8.16513630405836e-57,1.35198326922598e-53,"TM4SF20"
505.254413501298,1.52355953875287,0.0993548161358119,5.30961705477111e-54,7.9924217448091e-51,"MBD5"
2037.98177715276,1.22855319607373,0.0804420650586307,1.16148193672183e-53,1.60265149235333e-50,"RBFOX3"
1189.7337620344,-1.73864116560137,0.114300387868674,2.89666852708525e-53,3.68946442088288e-50,"SERPINE1"
785.284412835495,1.34975624567494,0.0896248858579348,2.78595044429068e-52,3.29498338975465e-49,"LGSN"
683.812167731356,-1.61047153739013,0.108016805446044,2.0700357825902e-51,2.28504349920857e-48,"HJURP"
321.013333421272,-2.39423593201392,0.162845859234801,6.52148801124427e-50,6.74892490563642e-47,"TK1"
425.97769139237,1.52070300169087,0.103849711245939,1.14092852478563e-49,1.11126438314121e-46,"C5"
1359.26491289239,-1.18125812410262,0.082514298016661,3.45585944426897e-47,3.17900670434476e-44,"EZR"
502.502638792411,-1.62460605528425,0.115368793262915,2.79278690178811e-46,2.20204597713369e-43,"POLE"
466.486840611977,-1.90213852890622,0.134836560597591,2.74927006905681e-46,2.20204597713369e-43,"ATAD2"
501.793324173042,1.82774147933205,0.129652021060184,2.6472798672928e-46,2.20204597713369e-43,"HGD"
422.005430615062,-1.6688345682175,0.118721482077176,6.07725386661336e-46,4.57396225106291e-43,"TICRR"
197.690047232156,3.29046359096037,0.234828204041199,2.21700093805667e-45,1.59604789271054e-42,"FGA"
222.985994511566,2.05125687321824,0.147214843014563,3.42718984912315e-45,2.36447539674088e-42,"AGR2"
271.160186573362,1.72704703059076,0.123978402447427,8.32107045662612e-45,5.51121138483261e-42,"SMOC1"
942.867982437857,1.19967878959707,0.0868845009958787,3.55503701411241e-44,2.2640116492182e-41,"SLC23A2"
369.406084016399,-1.83231414916867,0.133248198622441,3.88130422707832e-44,2.38024575525789e-41,"POLQ"
1431.81551696473,1.37320562763123,0.100293946996248,1.01179729422368e-43,5.983335570627e-41,"ALDH3A1"
488.613418491723,-1.57973642679071,0.115993940277977,2.99743865432095e-43,1.71143411166366e-40,"BRIP1"
532.667541087743,-1.76805401626726,0.131196818783537,1.83313630621295e-42,1.01176903194247e-39,"MELK"
275.556903132943,-2.18701064626259,0.16382294385979,9.35830219174412e-42,4.99854089325481e-39,"MYBL2"
374.370139560383,-1.74572119239964,0.131434581651385,2.31620016935334e-41,1.19848882512977e-38,"CHAF1A"
613.118450709949,-1.59762606513634,0.121142177269127,4.3009941430811e-41,2.15805639457991e-38,"FANCA"
420.448387110623,-1.59085394411072,0.12030414100424,6.7733988607351e-41,3.298645245178e-38,"NCAPG2"
382.907506997689,1.69089477585973,0.129161373809266,2.73038937495233e-40,1.29170820772745e-37,"SPATA6L"
366.116734501824,-1.72523831003323,0.131999145944342,4.344314012058e-40,1.99814309476823e-37,"CENPM"
6759.66693297411,1.0899925819884,0.0835365596472302,6.65831473374208e-40,2.97968582057571e-37,"PAPPA"
270.86049602677,-2.17739747142252,0.166974176236543,8.3655039492017e-40,3.64515827344426e-37,"E2F1"
779.498103204964,-1.1696772571047,0.0900867302494366,1.03177001686259e-39,4.38052511261814e-37,"NPC1"
292.988240424953,-1.8360292023165,0.142735026481424,6.49450665533547e-39,2.68840102997612e-36,"UHRF1"
3233.51752299159,0.868402743377543,0.0678079059888738,2.34468468316294e-38,9.46909487410046e-36,"MTUS1"
870.522138902372,1.0005622813932,0.0789298943096464,2.07933282341049e-37,8.19752211667403e-35,"TPCN1"
512.188746683611,-1.39126745615593,0.111102640055266,6.0297584888862e-37,2.32187769904599e-34,"MCM5"
394.99933201338,1.63209590188621,0.131502923838454,2.0919833928143e-36,7.87251386777708e-34,"MMD"
479.942985106568,-1.45394048149725,0.117328222455716,2.3293371550277e-36,8.57092546954415e-34,"FANCI"
233.218323647183,2.12977798539695,0.171889326760346,2.54967020544745e-36,9.17770418734757e-34,"ANXA13"
94.0650153351552,3.50014764374601,0.281820528028783,2.84938015088309e-36,9.67097977007933e-34,"FBXW10"
537.594611749164,-1.59270202664302,0.128727625015941,2.85131947954925e-36,9.67097977007933e-34,"CEP128"
1607.9969550709,1.10022033881994,0.0892146237923817,2.86192782180147e-36,9.67097977007933e-34,"AKR1C1"
192.213984489034,-2.21383065989849,0.178820698743932,3.3162101862419e-36,1.09819616527587e-33,"CDC6"
403.186222155525,1.61781481530394,0.131646898708058,8.68036245352953e-36,2.81822434324592e-33,"ANK3"
331.172058217157,-1.6850302961352,0.137026979591691,9.39360267839092e-36,2.99113986824609e-33,"CDCA4"
550.751475870367,1.19561544741627,0.0972567546498022,1.06465362496858e-35,3.3261386268358e-33,"PURPL"
755.884819548685,-1.02182003162656,0.0834732602687679,2.31898934754172e-35,7.11070844751774e-33,"SFMBT2"
235.808249014285,-2.02573839479979,0.166289480828917,3.43949796273572e-35,1.03547649576324e-32,"FOXM1"
300.222997482065,-1.66529789359596,0.136976849541143,4.8350731125402e-35,1.42962751066858e-32,"XRCC3"
1082.57484900604,-0.97655906852228,0.0801636392991261,9.57679424086173e-35,2.78197472000331e-32,"KCNMA1"
844.216618814795,1.55355891756626,0.127759905151331,1.13769025177417e-34,3.24790951532357e-32,"ARRB1"
250.206045356294,-1.87331254035066,0.154993129314888,1.57059106899598e-34,4.40777066448058e-32,"MCM4"
946.105446130088,-1.14506527072466,0.0953405162519608,4.04138618448859e-34,1.11528787404604e-31,"TUBA1C"
1046.32373303576,-1.03277902113144,0.087205619026472,2.77666808378478e-33,7.53706067726367e-31,"GPRC5A"
437.032409435801,-1.45241735199128,0.123319204251459,4.51811991152713e-33,1.20662950798494e-30,"TNFRSF12A"
471.579183985457,1.39650691676347,0.118602029408015,4.7744277150988e-33,1.25484085883501e-30,"PDE3A"
242.559063273891,-1.79085193462082,0.152205690809732,6.14826733479976e-33,1.59067203952522e-30,"MCM10"
821.375440100108,-0.924889206729613,0.0787410098528422,6.48126722526821e-33,1.65102804178448e-30,"PMEPA1"
926.181656672514,-1.32718978907337,0.113271213164164,8.60422153241562e-33,2.158616668693e-30,"GAPDH"
979.303227306066,-1.04394792016042,0.0895305347148869,1.86690056614485e-32,4.61375217525767e-30,"WNT7B"
243.535363111657,1.74376899013144,0.149916423973915,2.20541196654535e-32,5.37017813853793e-30,"CDH1"
481.073615966412,1.30222733958408,0.11163448015069,2.72840566242643e-32,6.54738274760245e-30,"EPCAM-DT"
472.844941761797,1.13059666191015,0.098072506741449,1.05871550418582e-31,2.50431590261553e-29,"DNHD1"
159.17417895605,2.08365218117125,0.18153358487979,1.20169518231051e-31,2.80248856742218e-29,"LINC02246"
296.372395084277,-1.65523636621554,0.144027388518258,1.322321079052e-31,3.04097117040876e-29,"BLM"
255.096339993591,1.54524933126631,0.13587081665448,2.24124404212342e-31,5.0836327191068e-29,"FILIP1"
187.495272007481,2.17855089311716,0.190637194297488,2.3136390332674e-31,5.17692366389752e-29,"ABCG1"
359.150574204749,-1.59212952294931,0.139813116843753,2.94892640159233e-31,6.5104431143421e-29,"FOSL1"
794.409272491756,-1.08054137049837,0.0945375954836802,3.43265281415283e-31,7.47866648641348e-29,"SNX5"
2489.33318162682,0.82649906345438,0.0719349285687371,3.82638190330163e-31,8.22821189024265e-29,"CA12"
594.225103088274,-1.14231460830094,0.100820703012228,1.00242122751612e-30,2.12796034425794e-28,"TCOF1"
313.05582322215,-1.52352437569106,0.134587609515453,1.22451583885002e-30,2.56652319742767e-28,"NCAPH"
481.409920603217,1.54762388922422,0.137318795279974,1.66036802650244e-30,3.43654672285343e-28,"HILPDA-AS1"
284.026686479701,-1.7180098207369,0.152475041229324,1.72312646065594e-30,3.52241085623964e-28,"ESPL1"
6711.65434024414,-0.845814945806748,0.0750955149306532,3.59277495540866e-30,7.25477655020202e-28,"KRT7"
677.009517109989,1.00186642456851,0.0893852830028097,4.81341916952978e-30,9.6024812782017e-28,"PLD1"
3145.30102814679,-0.763418766263974,0.0681563357932475,7.48552686993049e-30,1.47553992752749e-27,"MYOF"
325.222824461456,-1.54657757553366,0.139184604187172,1.08444136425862e-29,2.09548787667755e-27,"KIF4A"
207.518576265737,-2.31505010399852,0.208895349114532,1.08836790309379e-29,2.09548787667755e-27,"AURKB"
446.753675606187,1.52585325779599,0.137465647509452,1.12289756892517e-29,2.13711930416816e-27,"MAP2"
503.25745410846,1.22426762763212,0.109764222183861,1.20581350207119e-29,2.26884772355622e-27,"CNTNAP3B"
103.998248805297,2.80931432689618,0.25305602494421,1.35139052873468e-29,2.51419374997628e-27,"USH1C"
301.660863485064,1.64090104854568,0.148810936561861,2.32728680479014e-29,4.28169054596836e-27,"TTLL6"
928.963830096181,-0.956860673877335,0.0866797882929064,3.19814953207708e-29,5.81922636836618e-27,"NEK6"
364.815904078964,1.69832671515896,0.156543561348139,8.99477719033986e-29,1.6188643556266e-26,"CDRT1"
407.070713430999,-1.38895455300351,0.127367385421434,9.97108473204579e-29,1.77528194616359e-26,"RBL1"
341.817193964645,-1.32354110406056,0.121452203739747,1.22166289731749e-28,2.15194619721095e-26,"KRT80"
184.425804818014,-1.87441237421129,0.174858775409308,4.16836215860794e-28,7.26523585497161e-26,"MCM2"
694.933180849687,-1.02238710082103,0.0947934613129176,4.78351864335931e-28,8.25057309341078e-26,"LOC100288637"
322.581365408486,-1.52553100164751,0.142089389000171,6.36629981708447e-28,1.08673394197201e-25,"PRR11"
323.685189694234,-1.43475168962185,0.133846101043043,7.34250014496849e-28,1.24058283061621e-25,"CENPK"
162.856683014968,2.03833740829518,0.190026541373476,7.45039129137398e-28,1.24609675760172e-25,"NR2F2-AS1"
1036.0361234837,1.03908186803425,0.0965129401526318,7.86751558505785e-28,1.30270323057388e-25,"SLC45A4"
126.351638640825,2.49032577242238,0.232943594300933,8.0929571805488e-28,1.32676420787651e-25,"AVIL"
169.434399354625,2.01378475727198,0.18823412840937,8.2852615039207e-28,1.34497411746979e-25,"CCDC146"
1831.03969791385,0.801675681799949,0.0738467872398177,8.51853962212655e-28,1.36941727245798e-25,"PDE10A"
256.328542929627,-1.87834449469716,0.176391976428006,1.15275199112204e-27,1.83531417971142e-25,"CDC45"
743.349527528876,-1.16482081718,0.109759557057304,2.10430987452888e-27,3.31839646689992e-25,"POLA1"
237.781532596054,-1.77483638969522,0.168457723635392,2.91501179568888e-27,4.55346842575627e-25,"CDCA5"
4005.89626679346,-0.638362361106048,0.0601202983930215,6.13175891566496e-27,9.4887536565963e-25,"SMAD3"
274.425949317894,-1.49605068353475,0.14240502917321,6.27514247685133e-27,9.62072306775041e-25,"ZNF367"
409.846240491972,-1.35860046310562,0.129484745688782,9.7871586687795e-27,1.48675021318946e-24,"LMNB1"
250.266872087084,-1.7646332965132,0.168927784841207,1.18321810645954e-26,1.78106594606882e-24,"XRCC2"
386.108640258976,1.21245048381629,0.11594770366086,1.67570838871621e-26,2.49967382886154e-24,"CNTNAP3"
780.740806217099,1.12674609806893,0.108533192966886,3.04749920727956e-26,4.50540106019062e-24,"ERN1"
552.299911420514,1.05783217671514,0.102048451774523,5.52778970956294e-26,8.09992407176488e-24,"JUP"
1160.89577357016,-0.954448866963545,0.0930172574362966,1.41869168161192e-25,2.06058744422194e-23,"NAV2"
449.926042423306,-1.14198389758922,0.111753725408589,1.80631211182298e-25,2.60077529978826e-23,"POLA2"
410.853714362868,-1.49622383463258,0.14716173018031,2.39658224246691e-25,3.42091454920405e-23,"MIR22HG"
1124.35785563311,1.10895734439937,0.108522450199707,2.57372011731624e-25,3.64236390619848e-23,"FN1"
479.504453771928,1.12173013731537,0.110527989775955,3.79933534582272e-25,5.33130463187564e-23,"SETBP1"
4346.87560047904,-0.612137307180729,0.0602958481866842,6.15242274523341e-25,8.56065679122478e-23,"FLNB"
932.866698210489,0.799995449953879,0.0788682832865324,6.59349900280337e-25,9.09792970736818e-23,"NCOA7"
455.560135195397,1.47867418941396,0.147125592655724,8.00726640644901e-25,1.09524546406437e-22,"LOC101928055"
370.003974644534,-1.29457496851621,0.12909006168715,8.06981197100209e-25,1.09524546406437e-22,"CCNF"
2926.64305319713,0.789942282047139,0.0783726872190737,1.11069078221379e-24,1.49518845299966e-22,"EHBP1"
220.017719510676,-1.8735328822647,0.187931053706402,1.9277744559822e-24,2.57420076146398e-22,"STC2"
484.441735345571,-1.05942882699692,0.106789809485191,2.58619119279246e-24,3.42577230162061e-22,"DNMT1"
1001.92465216238,0.957944640013288,0.0963613294919054,3.71179257933083e-24,4.87776678798095e-22,"AKR1C3"
643.661132177198,-1.72173603608513,0.174043648697204,4.08119622418347e-24,5.32098008504172e-22,"ANGPTL4"
114.412907792371,2.0729498524019,0.210152844924719,4.66508959053874e-24,6.03473073751097e-22,"C5-OT1"
393.082292309715,-1.21039396970701,0.122427237616312,5.18090011866444e-24,6.65002667944541e-22,"CLN6"
885.653381528146,-1.20853046111796,0.12267576162568,6.29088609730881e-24,8.01265323071071e-22,"TUBA1B"
1944.90298695722,0.874876765145846,0.0886866468534784,6.4810035152075e-24,8.19179054998517e-22,"THSD7A"
1760.06710148274,-0.663665540486779,0.0671072149807823,7.844562238456e-24,9.84017132911776e-22,"MAP3K14"
1080.13830280573,0.95154680453065,0.0965288481170771,8.61418440001558e-24,1.07243357365006e-21,"CPLX2"
1567.77092750362,-0.751864551884342,0.0761778373454779,1.07129522917618e-23,1.32376913467905e-21,"LAMA3"
303.683381549466,1.17376349639567,0.120415372278898,1.70482034626737e-23,2.09099372544408e-21,"BDKRB2"
376.81629636178,-1.15895957204186,0.118758531349785,1.82025610851971e-23,2.21616181212275e-21,"CLTCL1"
627.359539081261,-1.02798134191713,0.105285588252346,1.91472782970691e-23,2.31416521199175e-21,"AXL"
291.826472989825,1.4474470062126,0.148778000272695,1.97111755569442e-23,2.36505539762233e-21,"LOC105375363"
1510.88661589412,0.629287399643402,0.0639121671318959,2.08521599032394e-23,2.48395729264631e-21,"ARHGAP26"
215.871118055438,1.76182187660729,0.181180472483257,2.1989366800973e-23,2.60071382493222e-21,"CYP3A5"
353.849300704118,-1.26073879422893,0.129492074520621,2.31863443966485e-23,2.72283326609721e-21,"NUP205"
309.247115018333,-1.38268300144022,0.142323708779644,2.40102631298994e-23,2.79973195003433e-21,"C19orf48"
