"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
871.076101952791,-2.19323920563932,0.076756633153413,1.01434554595186e-180,1.73625527100579e-176,"LOXL2"
821.375440100108,-2.06902395120293,0.0822165506798209,2.95916314397748e-141,2.53259977677313e-137,"PMEPA1"
3145.30102814679,-1.59046057602895,0.068644628143013,1.19449509572592e-120,6.81539085118019e-117,"MYOF"
1714.95587230365,-1.86955870261551,0.0835529276571082,5.01477034457794e-112,2.14594559970352e-108,"TGFBI"
212.394223968044,4.63641202170461,0.212109664813,1.07840222999827e-106,3.69180219417609e-103,"MUC5B"
755.884819548685,-1.79248210535274,0.084516448574746,5.01286260426479e-101,1.43008615328667e-97,"SFMBT2"
960.530824199931,-1.72365021704366,0.0833939547964838,4.66864066515114e-96,1.14161603236274e-92,"GRIN2B"
3233.51752299159,1.35524256218943,0.066432342433457,1.36351210823156e-93,2.91740459457495e-90,"MTUS1"
1360.19352613528,2.15904772351738,0.108575194768572,2.56509113288281e-89,4.87851832461723e-86,"MTUS1-DT"
1189.7337620344,-2.11877654831702,0.111649275259081,1.77341178190306e-81,3.03554894708347e-78,"SERPINE1"
974.949438237393,-2.18384037217154,0.115527950511259,6.95478493653526e-81,1.08222776144249e-77,"CDH4"
568.635416405958,2.14246057916163,0.113553534928365,2.30827110996946e-80,3.2925563824456e-77,"SLC12A2"
197.690047232156,4.13039518197041,0.228985414472675,2.72570705832865e-73,3.58891751672396e-70,"FGA"
437.032409435801,-2.24988907529409,0.125553318336451,5.20022537467043e-73,6.35801840987384e-70,"TNFRSF12A"
2571.28299782838,-1.4501547615454,0.0815223078355833,1.68788988404748e-71,1.92610740968271e-68,"ANTXR1"
1598.58274602431,-1.35506680860148,0.0769974985095911,2.07007124521704e-70,2.21458809402376e-67,"TPM1"
670.432067994771,1.66314784085919,0.0950106858887422,8.88381281008081e-70,8.94495434530313e-67,"ZC3HAV1"
1607.9969550709,1.52886856307973,0.0876036980380673,2.019398338255e-69,1.92033563088393e-66,"AKR1C1"
479.80283734747,-1.89790096488185,0.110046407636894,6.7186457066496e-68,6.05279255582743e-65,"LINC00842"
