gene_set,track,segment,bin,mean,ci_low,ci_high,n_genes
expressed,"H3, DMSO 24 h",TSS_pm400,0,0.2161083315366081,0.13937524782826327,0.2956126671637009,56
expressed,"H3, DMSO 24 h",TSS_pm400,1,0.23189494725582852,0.1501356487292131,0.31994852260254053,56
expressed,"H3, DMSO 24 h",TSS_pm400,2,0.24757517288838118,0.15855398287797082,0.33983169974227034,56
expressed,"H3, DMSO 24 h",TSS_pm400,3,0.24700910967907738,0.15997830021860346,0.3394345591443458,56
expressed,"H3, DMSO 24 h",TSS_pm400,4,0.2558183915380921,0.16955392582741172,0.3495885501136737,56
expressed,"H3, DMSO 24 h",TSS_pm400,5,0.2777940527402929,0.187252717244971,0.3818560960636075,56
expressed,"H3, DMSO 24 h",TSS_pm400,6,0.29688057731837036,0.1987153593257868,0.4150164645723998,56
expressed,"H3, DMSO 24 h",TSS_pm400,7,0.31655088428940087,0.20949998826786342,0.4377134656719862,56
expressed,"H3, DMSO 24 h",TSS_pm400,8,0.3537676651562963,0.23970257511096343,0.48657417490546195,56
expressed,"H3, DMSO 24 h",TSS_pm400,9,0.36991447404559175,0.2550367699377239,0.5037477693347526,56
expressed,"H3, DMSO 24 h",TSS_pm400,10,0.3686186202136534,0.2551058112111475,0.49834745729209046,56
expressed,"H3, DMSO 24 h",TSS_pm400,11,0.37370077907772997,0.2583435764240234,0.5081195504205035,56
expressed,"H3, DMSO 24 h",TSS_pm400,12,0.3716100761666894,0.25681593992414753,0.5074390116234176,56
expressed,"H3, DMSO 24 h",TSS_pm400,13,0.3824481360614301,0.26892993567045775,0.5179280519305862,56
expressed,"H3, DMSO 24 h",TSS_pm400,14,0.40159205983259844,0.284255062393578,0.5370029463146679,56
expressed,"H3, DMSO 24 h",TSS_pm400,15,0.4170165293716958,0.2912725258691769,0.5587708978887115,56
expressed,"H3, DMSO 24 h",TSS_pm400,16,0.43498381953686477,0.30732092635040836,0.58182040774463,56
expressed,"H3, DMSO 24 h",TSS_pm400,17,0.4529294841789774,0.3159238706495879,0.6114536803022825,56
expressed,"H3, DMSO 24 h",TSS_pm400,18,0.49281263266290937,0.33667089894347424,0.6644929583962741,56
expressed,"H3, DMSO 24 h",TSS_pm400,19,0.49321004495556864,0.3409594077510492,0.6768584062737812,56
expressed,"H3, DMSO 24 h",TSS_pm400,20,0.49754374184911804,0.33250788369232653,0.6893561619225822,56
expressed,"H3, DMSO 24 h",TSS_pm400,21,0.5114861525151702,0.3430281226662919,0.7141955479467288,56
expressed,"H3, DMSO 24 h",TSS_pm400,22,0.5170117112940974,0.34697496788044063,0.7120954781537875,56
expressed,"H3, DMSO 24 h",TSS_pm400,23,0.5220768155530096,0.3459513428388164,0.722940547030552,56
expressed,"H3, DMSO 24 h",TSS_pm400,24,0.507766411746187,0.33141882495954633,0.7251389205555564,56
expressed,"H3, DMSO 24 h",TSS_pm400,25,0.5062001376811948,0.30895455229495256,0.7418971485351875,56
expressed,"H3, DMSO 24 h",TSS_pm400,26,0.530586360448173,0.33598641183293815,0.7735991705774462,56
expressed,"H3, DMSO 24 h",TSS_pm400,27,0.562642742666815,0.3833562182242583,0.7769474720509193,56
expressed,"H3, DMSO 24 h",TSS_pm400,28,0.5643209116267306,0.37708940427550774,0.7903724675073419,56
expressed,"H3, DMSO 24 h",TSS_pm400,29,0.6108423337473401,0.4176043982876997,0.8579244071920402,56
expressed,"H3, DMSO 24 h",TSS_pm400,30,0.6252729389284337,0.4275282705814711,0.8745145098346153,56
expressed,"H3, DMSO 24 h",TSS_pm400,31,0.6388317485206896,0.43771931624771776,0.8864112830228572,56
expressed,"H3, DMSO 24 h",TSS_pm400,32,0.6597672827009643,0.4374924215474832,0.9241211529847763,56
expressed,"H3, DMSO 24 h",TSS_pm400,33,0.6699018078575297,0.4497298410596208,0.9425300098215749,56
expressed,"H3, DMSO 24 h",TSS_pm400,34,0.660945986583829,0.4467459851263891,0.9369326319838207,56
expressed,"H3, DMSO 24 h",TSS_pm400,35,0.6880012185255786,0.4821974546370116,0.955033310813335,56
expressed,"H3, DMSO 24 h",TSS_pm400,36,0.6889930166836297,0.490391157079222,0.9292784257406104,56
expressed,"H3, DMSO 24 h",TSS_pm400,37,0.647868388997657,0.46803290354753174,0.855049905270072,56
expressed,"H3, DMSO 24 h",TSS_pm400,38,0.6457646821986657,0.476456920903138,0.8344293846452266,56
expressed,"H3, DMSO 24 h",TSS_pm400,39,0.6459419646585474,0.4891822071763099,0.8144820162843988,56
expressed,"H3, DMSO 24 h",TSS_pm400,40,0.6432091793311494,0.48280760250586485,0.8148076095565089,56
expressed,"H3, DMSO 24 h",TSS_pm400,41,0.609436553799444,0.4669385810564494,0.7510355845785566,56
expressed,"H3, DMSO 24 h",TSS_pm400,42,0.6080088232244762,0.47199082368851775,0.7443439637031406,56
expressed,"H3, DMSO 24 h",TSS_pm400,43,0.6035831372652736,0.4700082343231355,0.7335542371004284,56
expressed,"H3, DMSO 24 h",TSS_pm400,44,0.5803536458207027,0.4497156444524548,0.7100509935005435,56
expressed,"H3, DMSO 24 h",TSS_pm400,45,0.5816478474863936,0.4572645387279668,0.7056074671633541,56
expressed,"H3, DMSO 24 h",TSS_pm400,46,0.5827514785208872,0.4617455619307501,0.7059814123922425,56
expressed,"H3, DMSO 24 h",TSS_pm400,47,0.5690341661285078,0.4544267421062771,0.6840932720214394,56
expressed,"H3, DMSO 24 h",TSS_pm400,48,0.5680234324985317,0.45987145127395973,0.6766176749120597,56
expressed,"H3, DMSO 24 h",TSS_pm400,49,0.5479085275992043,0.44162527423573744,0.6616669029928742,56
expressed,"H3, DMSO 24 h",TSS_pm400,50,0.5200586048353995,0.41484842997310406,0.6277845982748217,56
expressed,"H3, DMSO 24 h",TSS_pm400,51,0.5129979206781302,0.406944548914076,0.6228304421974877,56
expressed,"H3, DMSO 24 h",TSS_pm400,52,0.509352202899754,0.40517124607826455,0.6154924695479815,56
expressed,"H3, DMSO 24 h",TSS_pm400,53,0.5016424606687256,0.3988423144557912,0.6062806767378267,56
expressed,"H3, DMSO 24 h",TSS_pm400,54,0.48987395212586443,0.38898123674227725,0.5901250992695403,56
expressed,"H3, DMSO 24 h",TSS_pm400,55,0.47145951890519683,0.37495236971482104,0.57343996144299,56
expressed,"H3, DMSO 24 h",TSS_pm400,56,0.4674275649578444,0.36907433369862186,0.5677004789098699,56
expressed,"H3, DMSO 24 h",TSS_pm400,57,0.4670652099751999,0.369530962967713,0.5669664703016832,56
expressed,"H3, DMSO 24 h",TSS_pm400,58,0.45221625961439343,0.3557228134907023,0.5544412221659774,56
expressed,"H3, DMSO 24 h",TSS_pm400,59,0.4399986216798425,0.3412834492505395,0.537662206077283,56
expressed,"H3, DMSO 24 h",TSS_pm400,60,0.41782121591802157,0.322142576378371,0.5108440160578382,56
expressed,"H3, DMSO 24 h",TSS_pm400,61,0.41853359903075865,0.31616461668296586,0.5180542912141286,56
expressed,"H3, DMSO 24 h",TSS_pm400,62,0.4022760262180652,0.2996259051421657,0.5024152805350189,56
expressed,"H3, DMSO 24 h",TSS_pm400,63,0.3676499709220869,0.2663783976821495,0.46780648872854974,56
