time,time_label,n,median_log2FC,ci_low,ci_high,wilcoxon_p,x,stat_label,wilcoxon_fdr
24h,24 h,56,-0.299019523093751,-0.644913618602604,-0.0879358556123952,1.08338701183878e-05,1,median -0.30,2.16677402367755e-05
48h,48 h,56,-0.173467304000828,-0.64011208218316,0,0.00225658731029859,2,median -0.17,0.00225658731029859
